"ranks","name","year","rating","over.votes","X10","X9","X8","X7","X6","X5","X4","X3","X2","X1","men_rating","women_rating","men_votes","women_votes"
210,"Hotel Rwanda",2004,8.1,354270,51362,85890,125331,61183,16533,5407,2177,1272,1007,4108,8.1,8.3,227336,46574
211,"Rocky",1976,8,569021,104581,115792,188248,103778,32341,11408,4366,2550,1778,4179,8.1,7.7,368314,40153
212,"Ford v Ferrari",2019,8,381655,56390,97022,140257,63261,15840,4532,1503,795,637,1418,8,8.1,204160,28628
213,"Platoon",1986,8,411515,58732,95956,145435,71700,22079,7892,3228,1920,1385,3188,8.1,7.8,278390,27472
214,"Pather Panchali",1955,8,32650,12346,6649,5904,3107,1432,744,349,273,250,1596,8.3,8.1,20530,2497
215,"Stand by Me",1986,8,399431,72857,86485,132194,71319,21774,7332,2631,1349,1005,2485,8,8.2,232051,60125
216,"The Terminator",1984,8,855040,124964,172143,304343,168870,51212,16818,6495,3399,2257,4539,8.1,7.7,549183,70625
217,"Spotlight",2015,8,465366,56763,114864,170494,85242,23425,7401,2536,1298,948,2395,8,8.1,256611,64636
218,"Rush",2013,8,475558,67812,116776,169729,85614,22226,6556,2375,1191,919,2360,8.1,8,307570,43385
219,"Logan",2017,8,747547,151343,179855,215870,122979,44069,15402,6692,3549,2475,5313,8,7.9,411873,63255
220,"Network",1976,8,158958,29905,33804,46698,27792,10495,4403,1783,996,714,2368,8.1,7.9,106260,13789
221,"Ratatouille",2007,8,722560,126370,150471,236431,133895,44687,14519,5411,2830,1979,5967,8,8.1,392992,121688
222,"Into the Wild",2007,8,618815,122580,147540,175494,99998,36801,14934,6861,4181,3164,7262,8.1,8.1,372818,94627
223,"The Wizard of Oz",1939,8,396126,90290,70317,106089,71185,29649,12571,5326,3141,2283,5275,8,8.2,212890,76595
224,"Groundhog Day",1993,8,624200,99004,127019,205006,124404,40523,13906,5494,3004,1926,3914,8.1,7.7,383389,78628
225,"Before Sunset",2004,8,261816,51272,55391,79032,43329,15738,6381,2938,1884,1632,4219,8.1,8,142579,52932
226,"The Exorcist",1973,8,400365,76390,78818,119810,70248,28256,11633,5281,3094,2144,4691,8.1,7.8,246772,52665
227,"The Best Years of Our Lives",1946,8,64388,14062,12212,17828,10491,4062,2075,830,560,473,1795,8.1,8.3,38438,8728
228,"The Incredibles",2004,8,726224,123261,147007,238157,135988,48344,16360,6131,3094,1924,5958,8,7.9,410199,105189
229,"To Be or Not to Be",1942,8,37041,7525,8438,10674,5296,1933,957,447,436,259,1076,8.2,8.1,23523,4376
230,"The Grapes of Wrath",1940,8,93001,17119,18549,27762,15592,6113,3103,1363,868,631,1901,8.1,8,58186,11026
231,"Rebecca",1940,8,136694,24514,29593,42325,23398,8394,3462,1335,873,684,2116,8,8.3,74782,24756
232,"La battaglia di Algeri",1966,8,60006,12652,12786,16298,8757,3409,1706,718,520,447,2713,8.1,8,40782,5129
233,"Hachi: A Dog's Tale",2009,8,282483,72325,58395,76684,44735,16421,6320,2508,1522,1146,2427,8,8.4,149087,51626
234,"Cool Hand Luke",1967,8,176478,30523,40141,56322,30458,10174,3897,1513,885,797,1768,8.1,8,115582,15432
235,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,8,1113228,207748,230584,372537,190395,61566,22696,9223,5273,3571,9635,8,8.2,631334,170767
236,"Amores perros",2000,8,239486,35464,58891,80600,38949,12385,4868,2053,1293,1317,3666,8.1,8.1,151847,33613
237,"La haine",1995,8,171714,30722,41352,53992,27197,8626,3516,1604,980,784,2941,8,8.1,107651,16632
238,"Les quatre cents coups",1959,8,117264,23386,24360,34237,19201,7035,3081,1392,848,882,2842,8.1,8.1,71247,14016
239,"Babam ve Oglum",2005,8,86475,31442,17677,17103,9369,3805,2014,1264,615,730,2456,8.1,8.5,48346,11282
240,"Persona",1966,8,117820,28869,24085,29528,17012,7851,3752,1826,1287,976,2634,8,8.1,67821,16303
241,"It Happened One Night",1934,8,103587,19702,21403,31404,17491,6189,2723,1144,718,645,2168,8,8.2,57117,17968
242,"The Sound of Music",1965,8,231848,59506,43371,61990,35820,15106,6778,3066,1935,1427,2849,7.9,8.4,101867,63150
243,"Life of Brian",1979,8,397168,73922,89506,117330,67630,25170,10197,4414,2476,1933,4590,8,8,249067,41574
244,"Ah-ga-ssi",2016,8,143798,22542,35507,47709,23397,7354,2827,1297,951,671,1543,8,8.1,74762,20507
245,"Jai Bhim",2021,8,196924,160512,13075,6463,2658,1073,717,399,364,649,11014,8.4,7.6,37285,1661
246,"Dersu Uzala",1975,8,29401,7089,6921,7974,4003,1370,602,265,141,146,890,8.2,8.3,20240,2199
247,"Aladdin",1992,8,413414,71881,77371,142695,79717,25870,8640,3132,1484,896,1728,8,8.2,212301,81169
248,"Gandhi",1982,8,230721,39500,49176,74964,40234,13377,5311,2102,1268,987,3802,8.1,8,149733,25042
249,"The Help",2011,8,455606,78107,104850,154049,77234,23044,8062,3264,1759,1316,3921,7.9,8.4,209772,136635
250,"The Iron Giant",1999,8,192756,38083,38505,62146,33609,11469,4247,1613,872,619,1593,8,8,118696,22685
