"ranks","name","year","rating","over.votes","X10","X9","X8","X7","X6","X5","X4","X3","X2","X1","men_rating","women_rating","men_votes","women_votes"
48,"Once Upon a Time in the West",1968,8.4,327007,88635,86858,79961,39464,14100,6480,3232,1937,1501,4839,8.5,8.1,220691,20329
49,"Rear Window",1954,8.4,486772,112933,135760,135655,63237,19934,7803,3483,1934,1546,4487,8.5,8.5,282711,65256
50,"Alien",1979,8.4,868831,197112,243964,245276,116223,36210,13603,5966,3290,2288,4899,8.5,8.2,534560,79264
51,"City Lights",1931,8.4,183656,50926,47305,45660,20940,7428,3709,2037,1102,1055,3494,8.5,8.4,112682,19962
52,"Nuovo Cinema Paradiso",1988,8.4,258439,71644,70230,63322,29573,10642,4936,2382,1228,1123,3359,8.5,8.6,148761,36814
53,"Apocalypse Now",1979,8.4,660229,174292,175062,158944,83289,32549,14568,7275,4355,3151,6744,8.5,8.1,426933,46656
54,"Memento",2000,8.4,1223039,268856,365080,337490,152784,48851,19706,9299,5528,4269,11176,8.5,8.2,733024,141634
55,"Raiders of the Lost Ark",1981,8.4,955527,226412,257588,269604,129980,39184,14254,5980,3637,2661,6227,8.5,8.2,582962,93249
56,"Django Unchained",2012,8.4,1524174,325098,482494,432446,178291,54249,20285,9701,5920,4594,11096,8.4,8.4,860997,172243
57,"WALL·E",2008,8.4,1101152,268734,300757,291511,142963,48652,18925,8915,5522,4024,11149,8.4,8.5,621830,157060
58,"The Lives of Others",2006,8.4,387023,79228,122202,111961,45555,13286,5277,2610,1363,1102,4439,8.4,8.6,243532,51521
59,"Sunset Blvd.",1950,8.4,220479,54497,54301,57313,29429,11042,5156,2546,1374,1119,3702,8.4,8.5,130568,29702
60,"Top Gun: Maverick",2022,8.4,326908,110079,94250,73884,30620,9111,3159,1404,937,771,2693,8.4,8.5,142505,23597
61,"Paths of Glory",1957,8.4,196039,42209,53896,55144,25707,8344,3682,1838,1143,991,3085,8.4,8.1,128993,12357
62,"The Shining",1980,8.4,1003058,226161,277001,272331,133912,47822,19639,9307,5508,3837,7540,8.4,8.3,558692,131568
63,"The Great Dictator",1940,8.4,222613,55265,59434,58030,27012,10010,4689,2281,1411,994,3487,8.4,8.5,140088,22684
64,"Witness for the Prosecution",1957,8.4,124397,24349,35272,37260,15503,4867,2543,1288,630,630,2055,8.4,8.5,74287,14085
65,"Avengers: Infinity War",2018,8.4,1050595,348439,269292,226824,110801,41539,16368,7350,4783,4079,21120,8.4,8.4,506153,89439
66,"Aliens",1986,8.3,709461,163609,183472,199102,100567,33566,13072,5708,3047,2295,5023,8.4,8.1,455473,58537
